沣水,2.434824216958361
终南山,2.15692000588847
桥陵,2.0813689810056077
浐州,2.0813689810056077
汧阳,2.0813689810056077
蓝田,1.8855991753644026
辛夷坞,1.657070899380446
椒园,1.657070899380446
欹湖,1.5442284036167886
辋川,1.4316684859180548
渼陂,1.090878959093322
华子冈,1.0406844905028039
文杏馆,1.0406844905028039
宫槐陌,1.0406844905028039
南垞,1.0406844905028039
北垞,1.0406844905028039
孟城坳,0.828535449690223
茱萸沜,0.828535449690223
栾家濑,0.828535449690223
华清宫,0.7775705499477468
紫阁峰,0.6956640619881032
秦岭,0.6504278065642525
樊川,0.5940578679430516
商山,0.5339021061631962
灞水,0.5215440949067534
莲花峰,0.5203422452514019
渭水,0.46575086993572384
悟真寺,0.4625264402234685
泾渭,0.46137586725095553
首阳山,0.37722339402322774
春明门,0.3114874714694258
绣岭宫,0.3114874714694258
圃田,0.26409150629037753
济源,0.26409150629037753
秦川,0.2348349706301447
五陵,0.21447616716899837
长安,0.21397495735703997
灞陵,0.20485346703428634
浐水,0.20343139992640163
昭应,0.1884091971176031
杜陵,0.17451948208240567
石瓮寺,0.1739160154970258
渭城,0.17288858646099636
分水岭,0.161949586482928
鄠县,0.15199958787378376
骊山,0.1512004572730779
京城,0.13491965973299894
漆园,0.13008556131285048
灞亭,0.1196995698965111
雁塔,0.11534396681273888
未央宫,0.11534396681273888
韦曲,0.11534396681273888
泾水,0.11142791485145642
益州,0.11142791485145642
关中,0.1072920873475238
陕,0.09651427522604929
西楼,0.09471882661738852
上阳宫,0.09420459855880155
青龙寺,0.08041676115410816
咸阳,0.08008928190065699
皇州,0.07787186786735645
禁苑,0.07450629927239334
玉泉,0.07158106888589374
崆峒,0.062271466607470405
郡楼,0.061715228254527806
帝城,0.06065312212850203
塞北,0.05656287748182804
离宫,0.054675064987367746
长乐,0.05149549476232029
上林,0.05066587579948819
江汉,0.049386893645992726
华山,0.04735941330869426
淮南,0.038728661478889446
黄河,0.035758002186100174
曲江,0.03225134321909191
江南,0.024128568806512322
宫,0.021098757254683246
